Algorithm Data.
a,b,c,
0.000117462,5.5015e-05,0.0117462,0.0055015,0.01
0.000352385,0.000165045,0.0234923,0.011003,0.02
0.000704769,0.00033009,0.0352384,0.0165045,0.03
0.00117461,0.00055015,0.0469845,0.022006,0.04
0.00176192,0.000825225,0.0587306,0.0275075,0.05
0.00246669,0.00115532,0.0704767,0.033009,0.06
0.00328891,0.00154042,0.0822227,0.0385105,0.07
0.0042286,0.00198054,0.0939686,0.044012,0.08
0.00528574,0.00247568,0.105715,0.0495135,0.09
0.00646035,0.00302583,0.11746,0.055015,0.1
0.00775241,0.00363099,0.129206,0.0605165,0.11
0.00916193,0.00429117,0.140952,0.066018,0.12
0.0106889,0.00500637,0.152697,0.0715195,0.13
0.0123333,0.00577658,0.164443,0.077021,0.14
0.0140952,0.0066018,0.176188,0.0825225,0.15
0.0159746,0.00748204,0.187934,0.088024,0.16
0.0179713,0.0084173,0.199679,0.0935255,0.17
0.0200856,0.00940757,0.211424,0.099027,0.18
0.0223173,0.0104529,0.223169,0.104529,0.19
0.0246664,0.0115532,0.234914,0.11003,0.2
0.027133,0.0127085,0.246659,0.115532,0.21
0.029717,0.0139188,0.258403,0.121033,0.22
0.0324185,0.0151841,0.270148,0.126535,0.23
0.0352374,0.0165045,0.281892,0.132036,0.24
0.0381738,0.0178799,0.293637,0.137538,0.25
0.0412276,0.0193103,0.305381,0.143039,0.26
0.0443989,0.0207957,0.317124,0.148541,0.27
0.0476875,0.0223361,0.328868,0.154042,0.28
0.0510937,0.0239315,0.340612,0.159544,0.29
0.0546172,0.025582,0.352355,0.165045,0.3
0.0582582,0.0272874,0.364098,0.170547,0.31
0.0620166,0.0290479,0.375841,0.176048,0.32
0.0658924,0.0308634,0.387584,0.18155,0.33
0.0698857,0.0327339,0.399326,0.187051,0.34
0.0739964,0.0346595,0.411068,0.192553,0.35
0.0782245,0.03664,0.422811,0.198054,0.36
0.08257,0.0386756,0.434552,0.203556,0.37
0.0870329,0.0407661,0.446294,0.209057,0.38
0.0916133,0.0429117,0.458035,0.214559,0.39
0.0963111,0.0451123,0.469776,0.22006,0.4
0.101126,0.0473679,0.481517,0.225562,0.41
0.106059,0.0496786,0.493258,0.231063,0.42
0.111109,0.0520442,0.504998,0.236565,0.43
0.116276,0.0544649,0.516738,0.242066,0.44
0.121561,0.0569405,0.528478,0.247568,0.45
0.126963,0.0594712,0.540218,0.253069,0.46
0.132483,0.0620569,0.551957,0.258571,0.47
0.13812,0.0646977,0.563696,0.264072,0.48
0.143874,0.0673934,0.575434,0.269574,0.49
0.149746,0.0701441,0.587172,0.275075,0.5
0.155735,0.0729499,0.59891,0.280577,0.51
0.161841,0.0758107,0.610648,0.286078,0.52
0.168065,0.0787265,0.622385,0.29158,0.53
0.174406,0.0816973,0.634122,0.297081,0.54
0.180865,0.0847231,0.645859,0.302583,0.55
0.187441,0.087804,0.657595,0.308084,0.56
0.194134,0.0909398,0.669331,0.313586,0.57
0.200945,0.0941307,0.681067,0.319087,0.58
0.207873,0.0973766,0.692802,0.324589,0.59
0.214918,0.100677,0.704537,0.33009,0.6
0.222081,0.104033,0.716271,0.335592,0.61
0.229361,0.107444,0.728005,0.341093,0.62
0.236758,0.11091,0.739739,0.346595,0.63
0.244273,0.114431,0.751472,0.352096,0.64
0.251905,0.118007,0.763205,0.357598,0.65
0.259655,0.121638,0.774937,0.363099,0.66
0.267521,0.125324,0.786669,0.368601,0.67
0.275505,0.129065,0.798401,0.374102,0.68
0.283607,0.132861,0.810132,0.379604,0.69
0.291825,0.136712,0.821863,0.385105,0.7
0.300161,0.140618,0.833593,0.390607,0.71
0.308614,0.144579,0.845323,0.396108,0.72
0.317185,0.148596,0.857052,0.40161,0.73
0.325873,0.152667,0.868781,0.407111,0.74
0.334678,0.156793,0.880509,0.412613,0.75
0.3436,0.160974,0.892237,0.418114,0.76
0.35264,0.16521,0.903965,0.423616,0.77
0.361797,0.169501,0.915692,0.429117,0.78
0.371071,0.173847,0.927418,0.434619,0.79
0.380462,0.178249,0.939144,0.44012,0.8
0.389971,0.182705,0.95087,0.445622,0.81
0.399597,0.187216,0.962595,0.451123,0.82
0.40934,0.191782,0.974319,0.456625,0.83
0.419201,0.196404,0.986043,0.462126,0.84
0.429178,0.20108,0.997766,0.467628,0.85
0.439273,0.205811,1.00949,0.473129,0.86
0.449485,0.210597,1.02121,0.478631,0.87
0.459815,0.215439,1.03293,0.484132,0.88
0.470261,0.220335,1.04465,0.489634,0.89
0.480825,0.225286,1.05638,0.495135,0.9
0.491506,0.230293,1.0681,0.500637,0.91
0.502304,0.235354,1.07981,0.506138,0.92
0.513219,0.240471,1.09153,0.51164,0.93
0.524252,0.245642,1.10325,0.517141,0.94
0.535402,0.250868,1.11497,0.522643,0.95
0.546668,0.25615,1.12669,0.528144,0.96
0.558052,0.261486,1.1384,0.533646,0.97
0.569554,0.266878,1.15012,0.539147,0.98
0.581172,0.272324,1.16183,0.544649,0.99
0.592908,0.277826,1.17355,0.55015,1
0.60476,0.283382,1.18526,0.555652,1.01
0.61673,0.288994,1.19698,0.561153,1.02
0.628817,0.29466,1.20869,0.566655,1.03
0.641021,0.300382,1.2204,0.572156,1.04
0.653342,0.306159,1.23211,0.577658,1.05
0.66578,0.31199,1.24382,0.583159,1.06
