Algorithm Data.
a,b,c,
1.17461e-06,1.95253e-06,0.349066,0.01
3.52383e-06,5.85758e-06,0.349066,0.02
7.04764e-06,1.17152e-05,0.349066,0.03
1.1746e-05,1.95253e-05,0.349066,0.04
1.7619e-05,2.92879e-05,0.349066,0.05
2.46664e-05,4.1003e-05,0.349066,0.06
3.28884e-05,5.46707e-05,0.349066,0.07
4.22848e-05,7.02909e-05,0.349066,0.08
5.28556e-05,8.78636e-05,0.349066,0.09
6.46008e-05,0.000107389,0.349066,0.1
7.75203e-05,0.000128867,0.349066,0.11
9.1614e-05,0.000152297,0.349066,0.12
0.000106882,0.00017768,0.349066,0.13
0.000123324,0.000205015,0.349066,0.14
0.00014094,0.000234303,0.349066,0.15
0.00015973,0.000265543,0.349066,0.16
0.000179694,0.000298736,0.349066,0.17
0.000200832,0.000333882,0.349066,0.18
0.000223143,0.00037098,0.349066,0.19
0.000246628,0.00041003,0.349066,0.2
0.000271287,0.000451033,0.349066,0.21
0.000297118,0.000493989,0.349066,0.22
0.000324124,0.000538897,0.349066,0.23
0.000352302,0.000585758,0.349066,0.24
0.000381653,0.000634571,0.349066,0.25
0.000412177,0.000685336,0.349066,0.26
0.000443874,0.000738055,0.349066,0.27
0.000476744,0.000792725,0.349066,0.28
0.000510786,0.000849348,0.349066,0.29
0.000546,0.000907924,0.349066,0.3
0.000582387,0.000968452,0.349066,0.31
0.000619945,0.00103093,0.349066,0.32
0.000658676,0.00109537,0.349066,0.33
0.000698578,0.00116175,0.349066,0.34
0.000739651,0.00123009,0.349066,0.35
0.000781896,0.00130038,0.349066,0.36
0.000825312,0.00137263,0.349066,0.37
0.000869899,0.00144682,0.349066,0.38
0.000915656,0.00152297,0.349066,0.39
0.000962585,0.00160107,0.349066,0.4
0.00101068,0.00168112,0.349066,0.41
0.00105995,0.00176313,0.349066,0.42
0.00111039,0.00184709,0.349066,0.43
0.001162,0.001933,0.349066,0.44
0.00121478,0.00202086,0.349066,0.45
0.00126872,0.00211068,0.349066,0.46
0.00132384,0.00220245,0.349066,0.47
0.00138012,0.00229617,0.349066,0.48
0.00143758,0.00239184,0.349066,0.49
0.0014962,0.00248947,0.349066,0.5
0.00155599,0.00258905,0.349066,0.51
0.00161694,0.00269058,0.349066,0.52
0.00167907,0.00279406,0.349066,0.53
0.00174236,0.0028995,0.349066,0.54
0.00180682,0.00300689,0.349066,0.55
0.00187245,0.00311623,0.349066,0.56
0.00193924,0.00322752,0.349066,0.57
0.0020072,0.00334077,0.349066,0.58
0.00207632,0.00345597,0.349066,0.59
0.00214661,0.00357312,0.349066,0.6
0.00221806,0.00369223,0.349066,0.61
0.00229068,0.00381328,0.349066,0.62
0.00236446,0.00393629,0.349066,0.63
0.00243941,0.00406125,0.349066,0.64
0.00251552,0.00418817,0.349066,0.65
0.0025928,0.00431703,0.349066,0.66
0.00267124,0.00444785,0.349066,0.67
0.00275084,0.00458062,0.349066,0.68
0.0028316,0.00471535,0.349066,0.69
0.00291353,0.00485203,0.349066,0.7
0.00299662,0.00499065,0.349066,0.71
0.00308087,0.00513124,0.349066,0.72
0.00316628,0.00527377,0.349066,0.73
0.00325285,0.00541826,0.349066,0.74
0.00334058,0.0055647,0.349066,0.75
0.00342947,0.00571309,0.349066,0.76
0.00351952,0.00586343,0.349066,0.77
0.00361073,0.00601573,0.349066,0.78
0.0037031,0.00616998,0.349066,0.79
0.00379663,0.00632618,0.349066,0.8
0.00389132,0.00648434,0.349066,0.81
0.00398716,0.00664444,0.349066,0.82
0.00408416,0.0068065,0.349066,0.83
