[2019-08-20 14:13:32.187155][debug]:  Creating Communications
[2019-08-20 14:13:32.187906][debug]:  6111
[2019-08-20 14:13:37.046966][debug]:  Message received is: -Density:9.87-Gravity:1.22-Mass:80.0-DragX:100.0-DragY:0.3-Hori:0.3-Vert:1.0-Thrust:1.0-BurnTime:50.0-Flowrate:20.0-LaunchAngle:20.0

[2019-08-20 14:13:37.048103][error]:  Density: 9.87
[2019-08-20 14:13:37.048228][error]:  Gravity: 1.22
[2019-08-20 14:13:37.048305][error]:  Mass: 80
[2019-08-20 14:13:37.048383][error]:  Drag X Axis: 100
[2019-08-20 14:13:37.048460][error]:  Drag Y Axis: 0.3
[2019-08-20 14:13:37.048537][error]:  Horizontal: 0.3
[2019-08-20 14:13:37.048614][error]:  Vertical: 1
[2019-08-20 14:13:37.048691][error]:  Thrust: 1
[2019-08-20 14:13:37.048767][error]:  Burn Time: 50
[2019-08-20 14:13:37.048844][error]:  Flowrate: 20
[2019-08-20 14:13:37.048920][error]:  Launch angle: 20
[2019-08-20 14:13:37.048996][debug]:  Switching to:
[2019-08-20 14:13:37.049070][debug]:  State change is: 1
[2019-08-20 14:13:37.049146][debug]:  Starting call of Algo
[2019-08-20 14:13:37.049224][info]:  Getting rocket data
[2019-08-20 14:13:37.049298][info]:  Rocket mass: 80
[2019-08-20 14:13:37.049375][info]:  Creating rocket
[2019-08-20 14:13:37.049450][info]:  After Change = 80
[2019-08-20 14:13:37.049526][info]:  Getting terrain data
[2019-08-20 14:13:37.049600][info]:  Density: 9.87
[2019-08-20 14:13:37.049676][debug]:  Density in world: 9.87
[2019-08-20 14:13:37.049752][info]:  Rocket and terrain is set 
[2019-08-20 14:13:37.049827][info]:  Calling algo 
[2019-08-20 14:13:37.049906][info]:  Creating thrust 
[2019-08-20 14:13:37.050924][info]:  X axis Pre Coast :3.60526
[2019-08-20 14:13:37.051008][info]:  Y axis Pre Coast :24.4212
[2019-08-20 14:13:37.051085][debug]:  Density: 9.87
[2019-08-20 14:13:37.051161][debug]:  Gravity: 1.22
[2019-08-20 14:13:37.051569][info]:  Algo has finished 
[2019-08-20 14:13:37.069478][debug]:  Passing algo data
[2019-08-20 14:13:37.069640][debug]:  Size: 5769
[2019-08-20 14:13:37.069841][debug]:  Size After: 5769
[2019-08-20 14:13:37.069966][debug]:  We are sending a Ack Message
[2019-08-20 14:13:37.070082][debug]:  Sent: ID:101-State:2
[2019-08-20 14:13:38.829982][debug]:  Message received is: -Pilot:None-Sec:50.0

[2019-08-20 14:13:38.830391][debug]:  Switching to this pilot:
[2019-08-20 14:13:38.830473][debug]:  Pilot is: 0
[2019-08-20 14:13:38.830549][error]:  Pilot: 0
[2019-08-20 14:13:38.830625][error]:  Time to Launch Seconds: 50
[2019-08-20 14:13:38.830701][debug]:  Switching to:
[2019-08-20 14:13:38.830775][debug]:  State change is: 3
[2019-08-20 14:13:38.830850][debug]:  We are sending a Ack Message
[2019-08-20 14:13:38.830925][debug]:  Sent: ID:101-State:3
[2019-08-20 14:13:38.831060][info]:  Created Map Object
[2019-08-20 14:13:38.834562][debug]:  Reworked Height Index: 0, Value: 124.675
[2019-08-20 14:13:38.834670][debug]:  Reworked Height Index: 1, Value: 0
[2019-08-20 14:13:38.834752][debug]:  Reworked Height Index: 2, Value: 0
[2019-08-20 14:13:38.834831][debug]:  Reworked Height Index: 3, Value: 0
[2019-08-20 14:13:38.834910][debug]:  Reworked Height Index: 4, Value: 0
[2019-08-20 14:13:38.835025][debug]:  Reworked Height Index: 5, Value: 0
[2019-08-20 14:13:38.835123][debug]:  Reworked Height Index: 6, Value: 0
[2019-08-20 14:13:38.835260][debug]:  Reworked Height Index: 7, Value: 0
[2019-08-20 14:13:38.835379][debug]:  Reworked Height Index: 8, Value: 0
[2019-08-20 14:13:38.835497][debug]:  Reworked Height Index: 9, Value: 0
[2019-08-20 14:13:38.835614][debug]:  Reworked Height Index: 10, Value: 0
[2019-08-20 14:13:38.835736][debug]:  Reworked Height Index: 11, Value: 0
[2019-08-20 14:13:38.835855][debug]:  Reworked Height Index: 12, Value: 0
[2019-08-20 14:13:38.836220][debug]:  Reworked Height Index: 13, Value: 0
[2019-08-20 14:13:38.836339][debug]:  Reworked Height Index: 14, Value: 0
[2019-08-20 14:13:38.836451][debug]:  Reworked Height Index: 15, Value: 0
[2019-08-20 14:13:38.836556][debug]:  Reworked Height Index: 16, Value: 0
[2019-08-20 14:13:38.836660][debug]:  Reworked Height Index: 17, Value: 0
[2019-08-20 14:13:38.836758][debug]:  Reworked Height Index: 18, Value: 0
[2019-08-20 14:13:38.836830][debug]:  Reworked Height Index: 19, Value: 0
[2019-08-20 14:13:38.836900][debug]:  Reworked Height Index: 20, Value: 0
[2019-08-20 14:13:38.836969][debug]:  Reworked Height Index: 21, Value: 0
[2019-08-20 14:13:38.837037][debug]:  Reworked Height Index: 22, Value: 0
[2019-08-20 14:13:38.837110][debug]:  Reworked Height Index: 23, Value: 0
[2019-08-20 14:13:38.837178][debug]:  Reworked Height Index: 24, Value: 0
[2019-08-20 14:13:38.837247][debug]:  Reworked Height Index: 25, Value: 0
[2019-08-20 14:13:38.837315][debug]:  Reworked Height Index: 26, Value: 0
[2019-08-20 14:13:38.837383][debug]:  Reworked Height Index: 27, Value: 0
[2019-08-20 14:13:38.837520][debug]:  Reworked Height Index: 28, Value: 0
[2019-08-20 14:13:38.837623][debug]:  Reworked Height Index: 29, Value: 0
[2019-08-20 14:13:38.837713][debug]:  Reworked Height Index: 30, Value: 0
[2019-08-20 14:13:38.837783][debug]:  Reworked Height Index: 31, Value: 0
[2019-08-20 14:13:38.837852][debug]:  Reworked Height Index: 32, Value: 0
[2019-08-20 14:13:38.837920][debug]:  Reworked Height Index: 33, Value: 0
[2019-08-20 14:13:38.837989][debug]:  Reworked Height Index: 34, Value: 0
[2019-08-20 14:13:38.838058][debug]:  Reworked Height Index: 35, Value: 0
[2019-08-20 14:13:38.838126][debug]:  Reworked Height Index: 36, Value: 0
[2019-08-20 14:13:38.838195][debug]:  Reworked Height Index: 37, Value: 0
[2019-08-20 14:13:38.838264][debug]:  Reworked Height Index: 38, Value: 0
[2019-08-20 14:13:38.838332][debug]:  Reworked Height Index: 39, Value: 0
[2019-08-20 14:13:38.838401][debug]:  Reworked Height Index: 40, Value: 0
[2019-08-20 14:13:38.838470][debug]:  Reworked Height Index: 41, Value: 0
